Sales Person,Country,Product,Date,Amount,Boxes Shipped,Price per box,Month,Year,Month-Year,Sales Category,Sales Perfomrance,Region
Van Tuxwell,UK,Raspberry Choco,3/16/2022,6538,79,82.75949367,Mar,2022,Mar-2022,Meduim,Standard,Europe
Jan Morforth,Australia,Orange Choco,7/4/2022,3199,122,26.22131148,Jul,2022,Jul-2022,Low,Standard,Oceania
Jehu Rudeforth,India,50% Dark Bites,7/5/2022,3472,135,25.71851852,Jul,2022,Jul-2022,Low,Standard,Asia
Madelene Upcott,USA,After Nines,3/15/2022,4571,430,10.63023256,Mar,2022,Mar-2022,Low,Standard,Others
Barr Faughny,UK,Raspberry Choco,8/22/2022,5481,69,79.43478261,Aug,2022,Aug-2022,Meduim,Standard,Europe
Ches Bonnell,Australia,70% Dark Bites,1/12/2022,3136,125,25.088,Jan,2022,Jan-2022,Low,Standard,Oceania
Marney O'Breen,UK,Baker's Choco Chips,6/10/2022,252,154,1.636363636,Jun,2022,Jun-2022,Low,Standard,Europe
Kaine Padly,Australia,Peanut Butter Cubes,3/25/2022,5460,286,19.09090909,Mar,2022,Mar-2022,Meduim,Standard,Oceania
Rafaelita Blaksland,India,Almond Choco,7/27/2022,3395,99,34.29292929,Jul,2022,Jul-2022,Low,Standard,Asia
Husein Augar,UK,Caramel Stuffed Bars,4/15/2022,14938,433,34.49884527,Apr,2022,Apr-2022,High,High Performer,Europe
Roddy Speechley,India,Orange Choco,6/27/2022,4053,19,213.3157895,Jun,2022,Jun-2022,Low,Standard,Asia
Jehu Rudeforth,UK,70% Dark Bites,4/14/2022,5565,258,21.56976744,Apr,2022,Apr-2022,Meduim,Standard,Europe
Husein Augar,Australia,Manuka Honey Choco,3/15/2022,7161,92,77.83695652,Mar,2022,Mar-2022,Meduim,Standard,Oceania
Madelene Upcott,USA,Eclairs,3/18/2022,8883,200,44.415,Mar,2022,Mar-2022,Meduim,Standard,Others
Brien Boise,India,Eclairs,4/29/2022,1351,61,22.14754098,Apr,2022,Apr-2022,Low,Standard,Asia
Mallorie Waber,New Zealand,White Choc,2/25/2022,3171,246,12.8902439,Feb,2022,Feb-2022,Low,Standard,Others
Husein Augar,USA,Milk Bars,3/2/2022,854,56,15.25,Mar,2022,Mar-2022,Low,Standard,Others
Van Tuxwell,Australia,Milk Bars,6/20/2022,7910,87,90.91954023,Jun,2022,Jun-2022,Meduim,Standard,Oceania
Beverie Moffet,Canada,White Choc,7/15/2022,9275,173,53.61271676,Jul,2022,Jul-2022,Meduim,Standard,Others
Dotty Strutley,Australia,50% Dark Bites,5/12/2022,3108,252,12.33333333,May,2022,May-2022,Low,Standard,Oceania
Mallorie Waber,New Zealand,Organic Choco Syrup,7/1/2022,5075,256,19.82421875,Jul,2022,Jul-2022,Meduim,Standard,Others
Husein Augar,USA,85% Dark Bars,8/8/2022,378,54,7,Aug,2022,Aug-2022,Low,Standard,Others
Madelene Upcott,Australia,50% Dark Bites,7/25/2022,7350,6,1225,Jul,2022,Jul-2022,Meduim,Standard,Oceania
Wilone O'Kielt,UK,Drinking Coco,5/18/2022,3388,55,61.6,May,2022,May-2022,Low,Standard,Europe
Camilla Castle,India,Peanut Butter Cubes,7/15/2022,11837,277,42.73285199,Jul,2022,Jul-2022,High,High Performer,Asia
Curtice Advani,India,70% Dark Bites,7/5/2022,2282,44,51.86363636,Jul,2022,Jul-2022,Low,Standard,Asia
Mallorie Waber,USA,Manuka Honey Choco,7/4/2022,5425,96,56.51041667,Jul,2022,Jul-2022,Meduim,Standard,Others
Dotty Strutley,UK,70% Dark Bites,6/20/2022,1267,216,5.865740741,Jun,2022,Jun-2022,Low,Standard,Europe
Gunar Cockshoot,Australia,Almond Choco,1/25/2022,3752,424,8.849056604,Jan,2022,Jan-2022,Low,Standard,Oceania
Kaine Padly,New Zealand,Spicy Special Slims,7/1/2022,7728,37,208.8648649,Jul,2022,Jul-2022,Meduim,Standard,Others
Gigi Bohling,USA,50% Dark Bites,4/13/2022,2296,59,38.91525424,Apr,2022,Apr-2022,Low,Standard,Others
Beverie Moffet,UK,Smooth Sliky Salty,5/4/2022,4403,76,57.93421053,May,2022,May-2022,Low,Standard,Europe
Beverie Moffet,Australia,Baker's Choco Chips,8/4/2022,3192,109,29.28440367,Aug,2022,Aug-2022,Low,Standard,Oceania
Beverie Moffet,India,70% Dark Bites,6/1/2022,448,146,3.068493151,Jun,2022,Jun-2022,Low,Standard,Asia
Jehu Rudeforth,UK,Choco Coated Almonds,4/22/2022,4270,185,23.08108108,Apr,2022,Apr-2022,Low,Standard,Europe
Kaine Padly,USA,50% Dark Bites,8/3/2022,70,27,2.592592593,Aug,2022,Aug-2022,Low,Standard,Others
Ches Bonnell,USA,Orange Choco,6/10/2022,1743,69,25.26086957,Jun,2022,Jun-2022,Low,Standard,Others
Gunar Cockshoot,UK,Manuka Honey Choco,6/27/2022,6762,46,147,Jun,2022,Jun-2022,Meduim,Standard,Europe
Marney O'Breen,Australia,Smooth Sliky Salty,1/3/2022,3745,170,22.02941176,Jan,2022,Jan-2022,Low,Standard,Oceania
Marney O'Breen,India,After Nines,7/11/2022,2639,179,14.74301676,Jul,2022,Jul-2022,Low,Standard,Asia
Ches Bonnell,New Zealand,Milk Bars,8/17/2022,4389,126,34.83333333,Aug,2022,Aug-2022,Low,Standard,Others
Rafaelita Blaksland,USA,Fruit & Nut Bars,1/18/2022,2604,65,40.06153846,Jan,2022,Jan-2022,Low,Standard,Others
Ches Bonnell,India,Organic Choco Syrup,3/8/2022,16569,99,167.3636364,Mar,2022,Mar-2022,High,High Performer,Asia
Mallorie Waber,Australia,Orange Choco,3/7/2022,14658,275,53.30181818,Mar,2022,Mar-2022,High,High Performer,Oceania
Husein Augar,India,70% Dark Bites,5/9/2022,6454,157,41.10828025,May,2022,May-2022,Meduim,Standard,Asia
Barr Faughny,New Zealand,85% Dark Bars,5/23/2022,2100,157,13.37579618,May,2022,May-2022,Low,Standard,Others
Madelene Upcott,UK,Caramel Stuffed Bars,4/15/2022,161,145,1.110344828,Apr,2022,Apr-2022,Low,Standard,Europe
Gigi Bohling,Australia,Drinking Coco,7/27/2022,2807,139,20.1942446,Jul,2022,Jul-2022,Low,Standard,Oceania
Marney O'Breen,Canada,Choco Coated Almonds,8/22/2022,2639,406,6.5,Aug,2022,Aug-2022,Low,Standard,Others
Ches Bonnell,USA,70% Dark Bites,5/11/2022,4571,122,37.46721311,May,2022,May-2022,Low,Standard,Others
Madelene Upcott,India,Organic Choco Syrup,1/26/2022,4781,38,125.8157895,Jan,2022,Jan-2022,Low,Standard,Asia
Barr Faughny,USA,50% Dark Bites,4/14/2022,13034,117,111.4017094,Apr,2022,Apr-2022,High,High Performer,Others
Dennison Crosswaite,New Zealand,Mint Chip Choco,4/5/2022,6454,417,15.47721823,Apr,2022,Apr-2022,Meduim,Standard,Others
Marney O'Breen,New Zealand,Smooth Sliky Salty,6/14/2022,8484,57,148.8421053,Jun,2022,Jun-2022,Meduim,Standard,Others
Brien Boise,Canada,Almond Choco,4/13/2022,4781,125,38.248,Apr,2022,Apr-2022,Low,Standard,Others
Beverie Moffet,Australia,White Choc,6/27/2022,2240,166,13.4939759,Jun,2022,Jun-2022,Low,Standard,Oceania
Dotty Strutley,Australia,Eclairs,1/26/2022,6979,3,2326.333333,Jan,2022,Jan-2022,Meduim,Standard,Oceania
Barr Faughny,UK,White Choc,7/5/2022,1652,72,22.94444444,Jul,2022,Jul-2022,Low,Standard,Europe
Beverie Moffet,Canada,Baker's Choco Chips,1/11/2022,13447,95,141.5473684,Jan,2022,Jan-2022,High,High Performer,Others
Kelci Walkden,USA,White Choc,3/7/2022,9422,22,428.2727273,Mar,2022,Mar-2022,Meduim,Standard,Others
Kaine Padly,Canada,50% Dark Bites,3/4/2022,8687,100,86.87,Mar,2022,Mar-2022,Meduim,Standard,Others
Karlen McCaffrey,Canada,Organic Choco Syrup,7/15/2022,2415,312,7.740384615,Jul,2022,Jul-2022,Low,Standard,Others
Kaine Padly,UK,Peanut Butter Cubes,5/11/2022,6272,86,72.93023256,May,2022,May-2022,Meduim,Standard,Europe
Karlen McCaffrey,USA,Milk Bars,1/27/2022,4389,7,627,Jan,2022,Jan-2022,Low,Standard,Others
Karlen McCaffrey,India,Orange Choco,6/27/2022,3122,149,20.95302013,Jun,2022,Jun-2022,Low,Standard,Asia
Ches Bonnell,India,Smooth Sliky Salty,8/3/2022,8043,18,446.8333333,Aug,2022,Aug-2022,Meduim,Standard,Asia
Wilone O'Kielt,New Zealand,Mint Chip Choco,8/19/2022,11662,242,48.19008264,Aug,2022,Aug-2022,High,High Performer,Others
Wilone O'Kielt,Australia,Fruit & Nut Bars,6/15/2022,392,102,3.843137255,Jun,2022,Jun-2022,Low,Standard,Oceania
Dennison Crosswaite,UK,Peanut Butter Cubes,2/7/2022,8925,158,56.48734177,Feb,2022,Feb-2022,Meduim,Standard,Europe
Karlen McCaffrey,Australia,Almond Choco,7/8/2022,7294,128,56.984375,Jul,2022,Jul-2022,Meduim,Standard,Oceania
Dennison Crosswaite,India,Milk Bars,4/21/2022,1526,96,15.89583333,Apr,2022,Apr-2022,Low,Standard,Asia
Ches Bonnell,UK,Mint Chip Choco,4/8/2022,2688,209,12.86124402,Apr,2022,Apr-2022,Low,Standard,Europe
Husein Augar,Australia,50% Dark Bites,8/19/2022,14889,52,286.3269231,Aug,2022,Aug-2022,High,High Performer,Oceania
Jan Morforth,India,Fruit & Nut Bars,5/4/2022,2912,55,52.94545455,May,2022,May-2022,Low,Standard,Asia
Mallorie Waber,USA,85% Dark Bars,5/11/2022,2632,108,24.37037037,May,2022,May-2022,Low,Standard,Others
Mallorie Waber,USA,Eclairs,3/22/2022,6328,51,124.0784314,Mar,2022,Mar-2022,Meduim,Standard,Others
Dennison Crosswaite,Canada,Spicy Special Slims,8/10/2022,2527,216,11.69907407,Aug,2022,Aug-2022,Low,Standard,Others
Dennison Crosswaite,USA,Fruit & Nut Bars,5/4/2022,1414,318,4.446540881,May,2022,May-2022,Low,Standard,Others
Kelci Walkden,USA,99% Dark & Pure,8/18/2022,7714,238,32.41176471,Aug,2022,Aug-2022,Meduim,Standard,Others
Dotty Strutley,Canada,Raspberry Choco,8/3/2022,4347,238,18.26470588,Aug,2022,Aug-2022,Low,Standard,Others
Marney O'Breen,New Zealand,Milk Bars,1/14/2022,7490,315,23.77777778,Jan,2022,Jan-2022,Meduim,Standard,Others
Madelene Upcott,Australia,Choco Coated Almonds,4/8/2022,2058,72,28.58333333,Apr,2022,Apr-2022,Low,Standard,Oceania
Kelci Walkden,UK,Orange Choco,8/1/2022,3640,3,1213.333333,Aug,2022,Aug-2022,Low,Standard,Europe
Dennison Crosswaite,Canada,Eclairs,3/15/2022,455,45,10.11111111,Mar,2022,Mar-2022,Low,Standard,Others
Karlen McCaffrey,India,Mint Chip Choco,7/15/2022,10990,184,59.72826087,Jul,2022,Jul-2022,High,High Performer,Asia
Barr Faughny,New Zealand,Almond Choco,1/13/2022,5558,127,43.76377953,Jan,2022,Jan-2022,Meduim,Standard,Others
Mallorie Waber,Australia,85% Dark Bars,8/26/2022,2541,53,47.94339623,Aug,2022,Aug-2022,Low,Standard,Oceania
Ches Bonnell,Canada,Eclairs,1/10/2022,1876,172,10.90697674,Jan,2022,Jan-2022,Low,Standard,Others
Gigi Bohling,Australia,White Choc,5/11/2022,5523,87,63.48275862,May,2022,May-2022,Meduim,Standard,Oceania
Beverie Moffet,New Zealand,85% Dark Bars,8/30/2022,11200,22,509.0909091,Aug,2022,Aug-2022,High,High Performer,Others
Kaine Padly,USA,Caramel Stuffed Bars,7/21/2022,5593,122,45.8442623,Jul,2022,Jul-2022,Meduim,Standard,Others
Mallorie Waber,Australia,Almond Choco,8/1/2022,7882,125,63.056,Aug,2022,Aug-2022,Meduim,Standard,Oceania
Brien Boise,Canada,85% Dark Bars,2/17/2022,10241,259,39.54054054,Feb,2022,Feb-2022,High,High Performer,Others
Brien Boise,Australia,Drinking Coco,7/27/2022,6832,156,43.79487179,Jul,2022,Jul-2022,Meduim,Standard,Oceania
Dotty Strutley,USA,Orange Choco,2/23/2022,1379,107,12.88785047,Feb,2022,Feb-2022,Low,Standard,Others
Rafaelita Blaksland,Australia,50% Dark Bites,3/22/2022,3010,40,75.25,Mar,2022,Mar-2022,Low,Standard,Oceania
Dennison Crosswaite,India,99% Dark & Pure,6/23/2022,6888,311,22.14790997,Jun,2022,Jun-2022,Meduim,Standard,Asia
Curtice Advani,UK,White Choc,2/1/2022,1540,73,21.09589041,Feb,2022,Feb-2022,Low,Standard,Europe
Kelci Walkden,Australia,After Nines,3/2/2022,6916,288,24.01388889,Mar,2022,Mar-2022,Meduim,Standard,Oceania
Gigi Bohling,UK,Fruit & Nut Bars,4/6/2022,1232,86,14.3255814,Apr,2022,Apr-2022,Low,Standard,Europe
Gunar Cockshoot,Australia,Raspberry Choco,3/17/2022,602,72,8.361111111,Mar,2022,Mar-2022,Low,Standard,Oceania
Curtice Advani,UK,Fruit & Nut Bars,6/24/2022,10927,136,80.34558824,Jun,2022,Jun-2022,High,High Performer,Europe
Barr Faughny,Canada,50% Dark Bites,7/19/2022,10185,303,33.61386139,Jul,2022,Jul-2022,High,High Performer,Others
Curtice Advani,USA,Spicy Special Slims,7/11/2022,1603,264,6.071969697,Jul,2022,Jul-2022,Low,Standard,Others
Brien Boise,India,Almond Choco,1/13/2022,2170,218,9.95412844,Jan,2022,Jan-2022,Low,Standard,Asia
Oby Sorrel,New Zealand,Smooth Sliky Salty,7/7/2022,8673,60,144.55,Jul,2022,Jul-2022,Meduim,Standard,Others
Jan Morforth,India,85% Dark Bars,5/25/2022,4760,418,11.38755981,May,2022,May-2022,Low,Standard,Asia
Marney O'Breen,India,Fruit & Nut Bars,4/13/2022,4753,151,31.47682119,Apr,2022,Apr-2022,Low,Standard,Asia
Andria Kimpton,New Zealand,50% Dark Bites,3/2/2022,3374,202,16.7029703,Mar,2022,Mar-2022,Low,Standard,Others
Gunar Cockshoot,Canada,Raspberry Choco,6/23/2022,2058,126,16.33333333,Jun,2022,Jun-2022,Low,Standard,Others
Kelci Walkden,USA,Drinking Coco,7/26/2022,6454,160,40.3375,Jul,2022,Jul-2022,Meduim,Standard,Others
Van Tuxwell,Canada,White Choc,3/22/2022,420,3,140,Mar,2022,Mar-2022,Low,Standard,Others
Rafaelita Blaksland,USA,Baker's Choco Chips,6/9/2022,2863,58,49.36206897,Jun,2022,Jun-2022,Low,Standard,Others
Van Tuxwell,Australia,Caramel Stuffed Bars,5/17/2022,5936,59,100.6101695,May,2022,May-2022,Meduim,Standard,Oceania
Ches Bonnell,New Zealand,Peanut Butter Cubes,3/4/2022,889,273,3.256410256,Mar,2022,Mar-2022,Low,Standard,Others
Kelci Walkden,Canada,Milk Bars,7/7/2022,16016,28,572,Jul,2022,Jul-2022,High,High Performer,Others
Dennison Crosswaite,Canada,Choco Coated Almonds,1/13/2022,10479,118,88.80508475,Jan,2022,Jan-2022,High,High Performer,Others
Curtice Advani,Australia,Almond Choco,7/13/2022,2912,75,38.82666667,Jul,2022,Jul-2022,Low,Standard,Oceania
Madelene Upcott,Australia,85% Dark Bars,6/16/2022,1575,329,4.787234043,Jun,2022,Jun-2022,Low,Standard,Oceania
Gigi Bohling,UK,50% Dark Bites,7/18/2022,8197,69,118.7971014,Jul,2022,Jul-2022,Meduim,Standard,Europe
Ches Bonnell,UK,Manuka Honey Choco,5/30/2022,4221,395,10.68607595,May,2022,May-2022,Low,Standard,Europe
Gigi Bohling,UK,70% Dark Bites,6/21/2022,840,81,10.37037037,Jun,2022,Jun-2022,Low,Standard,Europe
Jehu Rudeforth,Australia,Peanut Butter Cubes,6/24/2022,5691,38,149.7631579,Jun,2022,Jun-2022,Meduim,Standard,Oceania
Marney O'Breen,India,Eclairs,1/13/2022,3472,96,36.16666667,Jan,2022,Jan-2022,Low,Standard,Asia
Curtice Advani,Canada,Fruit & Nut Bars,4/4/2022,4193,195,21.5025641,Apr,2022,Apr-2022,Low,Standard,Others
Kaine Padly,UK,Smooth Sliky Salty,6/8/2022,9016,554,16.27436823,Jun,2022,Jun-2022,Meduim,Standard,Europe
Karlen McCaffrey,Canada,Spicy Special Slims,8/2/2022,6328,47,134.6382979,Aug,2022,Aug-2022,Meduim,Standard,Others
Kelci Walkden,USA,Organic Choco Syrup,7/21/2022,9870,152,64.93421053,Jul,2022,Jul-2022,Meduim,Standard,Others
Curtice Advani,India,Spicy Special Slims,6/20/2022,161,134,1.201492537,Jun,2022,Jun-2022,Low,Standard,Asia
Roddy Speechley,India,After Nines,6/22/2022,2576,112,23,Jun,2022,Jun-2022,Low,Standard,Asia
Camilla Castle,Australia,Caramel Stuffed Bars,5/2/2022,3178,16,198.625,May,2022,May-2022,Low,Standard,Oceania
Curtice Advani,Australia,99% Dark & Pure,1/7/2022,4676,84,55.66666667,Jan,2022,Jan-2022,Low,Standard,Oceania
Mallorie Waber,UK,50% Dark Bites,2/21/2022,5502,99,55.57575758,Feb,2022,Feb-2022,Meduim,Standard,Europe
Ches Bonnell,Canada,Baker's Choco Chips,3/21/2022,7462,371,20.11320755,Mar,2022,Mar-2022,Meduim,Standard,Others
Van Tuxwell,UK,Drinking Coco,4/4/2022,5803,136,42.66911765,Apr,2022,Apr-2022,Meduim,Standard,Europe
Gunar Cockshoot,Canada,Fruit & Nut Bars,3/24/2022,13888,203,68.4137931,Mar,2022,Mar-2022,High,High Performer,Others
Gunar Cockshoot,New Zealand,Spicy Special Slims,6/28/2022,6867,183,37.52459016,Jun,2022,Jun-2022,Meduim,Standard,Others
Gunar Cockshoot,Australia,Drinking Coco,1/14/2022,2317,195,11.88205128,Jan,2022,Jan-2022,Low,Standard,Oceania
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,2/7/2022,1218,135,9.022222222,Feb,2022,Feb-2022,Low,Standard,Others
Dennison Crosswaite,New Zealand,Drinking Coco,1/11/2022,4109,197,20.85786802,Jan,2022,Jan-2022,Low,Standard,Others
Jehu Rudeforth,India,99% Dark & Pure,2/25/2022,1953,242,8.070247934,Feb,2022,Feb-2022,Low,Standard,Asia
Dotty Strutley,Australia,Mint Chip Choco,8/1/2022,6790,25,271.6,Aug,2022,Aug-2022,Meduim,Standard,Oceania
Roddy Speechley,Australia,Mint Chip Choco,5/5/2022,6797,252,26.97222222,May,2022,May-2022,Meduim,Standard,Oceania
Madelene Upcott,New Zealand,Raspberry Choco,5/18/2022,9226,415,22.2313253,May,2022,May-2022,Meduim,Standard,Others
Dotty Strutley,New Zealand,Choco Coated Almonds,1/4/2022,5733,348,16.47413793,Jan,2022,Jan-2022,Meduim,Standard,Others
Roddy Speechley,New Zealand,50% Dark Bites,5/9/2022,4312,211,20.43601896,May,2022,May-2022,Low,Standard,Others
Rafaelita Blaksland,India,Smooth Sliky Salty,5/6/2022,1638,81,20.22222222,May,2022,May-2022,Low,Standard,Asia
Husein Augar,UK,White Choc,1/13/2022,10815,145,74.5862069,Jan,2022,Jan-2022,High,High Performer,Europe
Roddy Speechley,Australia,Almond Choco,6/24/2022,4466,74,60.35135135,Jun,2022,Jun-2022,Low,Standard,Oceania
Van Tuxwell,USA,Caramel Stuffed Bars,2/14/2022,987,21,47,Feb,2022,Feb-2022,Low,Standard,Others
Camilla Castle,Australia,99% Dark & Pure,1/18/2022,4669,101,46.22772277,Jan,2022,Jan-2022,Low,Standard,Oceania
Kaine Padly,India,Milk Bars,5/2/2022,2905,91,31.92307692,May,2022,May-2022,Low,Standard,Asia
Ches Bonnell,Australia,Smooth Sliky Salty,5/16/2022,7490,54,138.7037037,May,2022,May-2022,Meduim,Standard,Oceania
Mallorie Waber,USA,Almond Choco,1/28/2022,6986,368,18.98369565,Jan,2022,Jan-2022,Meduim,Standard,Others
Kaine Padly,Canada,99% Dark & Pure,6/24/2022,1288,409,3.149144254,Jun,2022,Jun-2022,Low,Standard,Others
Oby Sorrel,UK,After Nines,7/18/2022,2345,104,22.54807692,Jul,2022,Jul-2022,Low,Standard,Europe
Gunar Cockshoot,UK,Eclairs,4/13/2022,3619,164,22.06707317,Apr,2022,Apr-2022,Low,Standard,Europe
Dotty Strutley,USA,Caramel Stuffed Bars,4/15/2022,16982,76,223.4473684,Apr,2022,Apr-2022,High,High Performer,Others
Jan Morforth,India,Peanut Butter Cubes,1/4/2022,8092,178,45.46067416,Jan,2022,Jan-2022,Meduim,Standard,Asia
Husein Augar,Australia,Eclairs,7/4/2022,6993,31,225.5806452,Jul,2022,Jul-2022,Meduim,Standard,Oceania
Beverie Moffet,USA,Smooth Sliky Salty,3/24/2022,2317,352,6.582386364,Mar,2022,Mar-2022,Low,Standard,Others
Camilla Castle,Australia,Manuka Honey Choco,3/17/2022,637,169,3.769230769,Mar,2022,Mar-2022,Low,Standard,Oceania
Oby Sorrel,Australia,Almond Choco,2/15/2022,6034,223,27.05829596,Feb,2022,Feb-2022,Meduim,Standard,Oceania
Jan Morforth,USA,Orange Choco,6/29/2022,980,146,6.712328767,Jun,2022,Jun-2022,Low,Standard,Others
Gigi Bohling,USA,Fruit & Nut Bars,5/24/2022,2821,112,25.1875,May,2022,May-2022,Low,Standard,Others
Mallorie Waber,UK,Milk Bars,1/10/2022,3563,284,12.54577465,Jan,2022,Jan-2022,Low,Standard,Europe
Curtice Advani,USA,Raspberry Choco,3/15/2022,2996,139,21.55395683,Mar,2022,Mar-2022,Low,Standard,Others
Marney O'Breen,Canada,Milk Bars,2/8/2022,2436,309,7.883495146,Feb,2022,Feb-2022,Low,Standard,Others
Brien Boise,India,Caramel Stuffed Bars,2/25/2022,1540,100,15.4,Feb,2022,Feb-2022,Low,Standard,Asia
Gunar Cockshoot,USA,Eclairs,5/3/2022,6916,42,164.6666667,May,2022,May-2022,Meduim,Standard,Others
Roddy Speechley,USA,Fruit & Nut Bars,6/14/2022,5509,24,229.5416667,Jun,2022,Jun-2022,Meduim,Standard,Others
Gunar Cockshoot,India,50% Dark Bites,8/9/2022,12992,83,156.5301205,Aug,2022,Aug-2022,High,High Performer,Asia
Wilone O'Kielt,New Zealand,Manuka Honey Choco,7/11/2022,3724,234,15.91452991,Jul,2022,Jul-2022,Low,Standard,Others
Kaine Padly,UK,Manuka Honey Choco,1/14/2022,7133,118,60.44915254,Jan,2022,Jan-2022,Meduim,Standard,Europe
Van Tuxwell,Canada,Manuka Honey Choco,2/24/2022,8617,46,187.326087,Feb,2022,Feb-2022,Meduim,Standard,Others
Wilone O'Kielt,New Zealand,Almond Choco,3/15/2022,9198,144,63.875,Mar,2022,Mar-2022,Meduim,Standard,Others
Oby Sorrel,New Zealand,Baker's Choco Chips,4/25/2022,11823,47,251.5531915,Apr,2022,Apr-2022,High,High Performer,Others
Dennison Crosswaite,Australia,Organic Choco Syrup,5/10/2022,5775,41,140.8536585,May,2022,May-2022,Meduim,Standard,Oceania
Marney O'Breen,Australia,Spicy Special Slims,6/23/2022,13125,275,47.72727273,Jun,2022,Jun-2022,High,High Performer,Oceania
Beverie Moffet,Canada,Smooth Sliky Salty,2/28/2022,14287,370,38.61351351,Feb,2022,Feb-2022,High,High Performer,Others
Brien Boise,USA,Organic Choco Syrup,5/25/2022,16233,138,117.6304348,May,2022,May-2022,High,High Performer,Others
Roddy Speechley,New Zealand,Baker's Choco Chips,2/22/2022,5313,215,24.71162791,Feb,2022,Feb-2022,Meduim,Standard,Others
Van Tuxwell,UK,85% Dark Bars,7/11/2022,3577,134,26.69402985,Jul,2022,Jul-2022,Low,Standard,Europe
Marney O'Breen,Canada,Spicy Special Slims,1/3/2022,3528,336,10.5,Jan,2022,Jan-2022,Low,Standard,Others
Rafaelita Blaksland,New Zealand,70% Dark Bites,8/24/2022,679,280,2.425,Aug,2022,Aug-2022,Low,Standard,Others
Beverie Moffet,USA,50% Dark Bites,7/28/2022,2450,352,6.960227273,Jul,2022,Jul-2022,Low,Standard,Others
Brien Boise,USA,Mint Chip Choco,5/25/2022,10577,150,70.51333333,May,2022,May-2022,High,High Performer,Others
Karlen McCaffrey,New Zealand,Eclairs,5/6/2022,2597,177,14.67231638,May,2022,May-2022,Low,Standard,Others
Barr Faughny,India,Drinking Coco,1/28/2022,2219,142,15.62676056,Jan,2022,Jan-2022,Low,Standard,Asia
Marney O'Breen,UK,Orange Choco,6/6/2022,11319,12,943.25,Jun,2022,Jun-2022,High,High Performer,Europe
Brien Boise,New Zealand,Baker's Choco Chips,7/12/2022,5978,24,249.0833333,Jul,2022,Jul-2022,Meduim,Standard,Others
Ches Bonnell,Canada,Spicy Special Slims,8/5/2022,5327,183,29.10928962,Aug,2022,Aug-2022,Meduim,Standard,Others
Brien Boise,USA,Orange Choco,1/28/2022,6020,147,40.95238095,Jan,2022,Jan-2022,Meduim,Standard,Others
Kaine Padly,India,Spicy Special Slims,8/31/2022,5614,137,40.97810219,Aug,2022,Aug-2022,Meduim,Standard,Asia
Mallorie Waber,USA,50% Dark Bites,4/19/2022,1736,13,133.5384615,Apr,2022,Apr-2022,Low,Standard,Others
Mallorie Waber,UK,Mint Chip Choco,6/29/2022,6384,2,3192,Jun,2022,Jun-2022,Meduim,Standard,Europe
Beverie Moffet,India,Choco Coated Almonds,2/24/2022,3577,261,13.70498084,Feb,2022,Feb-2022,Low,Standard,Asia
Madelene Upcott,UK,Smooth Sliky Salty,3/4/2022,14539,84,173.0833333,Mar,2022,Mar-2022,High,High Performer,Europe
Gigi Bohling,India,Eclairs,6/21/2022,3493,68,51.36764706,Jun,2022,Jun-2022,Low,Standard,Asia
Rafaelita Blaksland,Australia,Organic Choco Syrup,1/26/2022,994,105,9.466666667,Jan,2022,Jan-2022,Low,Standard,Oceania
Oby Sorrel,New Zealand,White Choc,6/10/2022,4361,40,109.025,Jun,2022,Jun-2022,Low,Standard,Others
Andria Kimpton,UK,Drinking Coco,5/23/2022,1554,65,23.90769231,May,2022,May-2022,Low,Standard,Europe
Kelci Walkden,India,Milk Bars,4/15/2022,966,107,9.028037383,Apr,2022,Apr-2022,Low,Standard,Asia
Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,1/31/2022,5334,227,23.49779736,Jan,2022,Jan-2022,Meduim,Standard,Others
Andria Kimpton,New Zealand,Organic Choco Syrup,3/4/2022,4935,39,126.5384615,Mar,2022,Mar-2022,Low,Standard,Others
Barr Faughny,New Zealand,After Nines,4/19/2022,10024,84,119.3333333,Apr,2022,Apr-2022,High,High Performer,Others
Beverie Moffet,UK,Almond Choco,5/16/2022,2506,100,25.06,May,2022,May-2022,Low,Standard,Europe
Oby Sorrel,Australia,Raspberry Choco,2/17/2022,1043,120,8.691666667,Feb,2022,Feb-2022,Low,Standard,Oceania
Dennison Crosswaite,USA,Raspberry Choco,1/18/2022,6524,257,25.38521401,Jan,2022,Jan-2022,Meduim,Standard,Others
Roddy Speechley,Canada,Orange Choco,2/9/2022,8148,85,95.85882353,Feb,2022,Feb-2022,Meduim,Standard,Others
Mallorie Waber,Canada,Orange Choco,3/23/2022,3577,178,20.09550562,Mar,2022,Mar-2022,Low,Standard,Others
Madelene Upcott,New Zealand,Caramel Stuffed Bars,2/1/2022,3374,151,22.34437086,Feb,2022,Feb-2022,Low,Standard,Others
Mallorie Waber,India,Drinking Coco,3/7/2022,3948,142,27.8028169,Mar,2022,Mar-2022,Low,Standard,Asia
Ches Bonnell,UK,White Choc,1/3/2022,3269,226,14.46460177,Jan,2022,Jan-2022,Low,Standard,Europe
Ches Bonnell,USA,White Choc,2/11/2022,5271,341,15.45747801,Feb,2022,Feb-2022,Meduim,Standard,Others
Dennison Crosswaite,New Zealand,Orange Choco,3/16/2022,4571,140,32.65,Mar,2022,Mar-2022,Low,Standard,Others
